App:[caches],NumThreads:[0],AppSize:[32],Time:[18.1235], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[32],Time:[18.1268], TimeUnits:[Cycles Per Iteration],NumIterations:[5520],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[32],Time:[18.1137], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[32],Time:[18.1161], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[32],Time:[18.1137], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[32],Time:[18.1137], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[32],Time:[18.1137], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[32],Time:[18.1137], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[32],Time:[18.1137], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[32],Time:[18.1137], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[64],Time:[18.1283], TimeUnits:[Cycles Per Iteration],NumIterations:[5520],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[64],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[64],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[64],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[64],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[64],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[64],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[64],Time:[18.1116], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[64],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[64],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[96],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[96],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[96],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[96],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[96],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[96],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[96],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
